Vervoerwijzen;Perioden;Regios;Reizigerskilometers (mld km)
Bus/tram/metro;2017;Limburg (PV);     0.2
Brom-/snorfiets;2010;Groningen (PV);     0.0
Brom-/snorfiets;2011;Groningen (PV);     0.0
Brom-/snorfiets;2012;Groningen (PV);     0.0
Brom-/snorfiets;2013;Groningen (PV);     0.0
Brom-/snorfiets;2014;Groningen (PV);     0.0
Brom-/snorfiets;2015;Groningen (PV);     0.0
Brom-/snorfiets;2016;Groningen (PV);     0.0
Brom-/snorfiets;2017;Groningen (PV);     0.0
Brom-/snorfiets;2010;Friesland (PV);     0.0
Brom-/snorfiets;2011;Friesland (PV);     0.0
Brom-/snorfiets;2012;Friesland (PV);     0.0
Brom-/snorfiets;2013;Friesland (PV);     0.0
Brom-/snorfiets;2014;Friesland (PV);     0.0
Brom-/snorfiets;2015;Friesland (PV);     0.0
Brom-/snorfiets;2016;Friesland (PV);     0.0
Brom-/snorfiets;2017;Friesland (PV);     0.0
Brom-/snorfiets;2010;Drenthe (PV);     0.0
Brom-/snorfiets;2011;Drenthe (PV);     0.0
Brom-/snorfiets;2012;Drenthe (PV);     0.0
Brom-/snorfiets;2013;Drenthe (PV);     0.0
Brom-/snorfiets;2014;Drenthe (PV);     0.0
Brom-/snorfiets;2015;Drenthe (PV);     0.1
Brom-/snorfiets;2016;Drenthe (PV);     0.0
Brom-/snorfiets;2017;Drenthe (PV);     0.0
Brom-/snorfiets;2010;Overijssel (PV);     0.1
Brom-/snorfiets;2011;Overijssel (PV);     0.1
Brom-/snorfiets;2012;Overijssel (PV);     0.0
Brom-/snorfiets;2013;Overijssel (PV);     0.1
Brom-/snorfiets;2014;Overijssel (PV);     0.1
Brom-/snorfiets;2015;Overijssel (PV);     0.0
Brom-/snorfiets;2016;Overijssel (PV);     0.0
Brom-/snorfiets;2017;Overijssel (PV);     0.0
Brom-/snorfiets;2010;Flevoland (PV);     0.0
Brom-/snorfiets;2011;Flevoland (PV);     0.0
Brom-/snorfiets;2012;Flevoland (PV);     0.0
Brom-/snorfiets;2013;Flevoland (PV);     0.0
Brom-/snorfiets;2014;Flevoland (PV);     0.0
Brom-/snorfiets;2015;Flevoland (PV);     0.0
Brom-/snorfiets;2016;Flevoland (PV);     0.0
Brom-/snorfiets;2017;Flevoland (PV);     0.0
Brom-/snorfiets;2010;Gelderland (PV);     0.1
Brom-/snorfiets;2011;Gelderland (PV);     0.2
Brom-/snorfiets;2012;Gelderland (PV);     0.1
Brom-/snorfiets;2013;Gelderland (PV);     0.2
Brom-/snorfiets;2014;Gelderland (PV);     0.1
Brom-/snorfiets;2015;Gelderland (PV);     0.1
Brom-/snorfiets;2016;Gelderland (PV);     0.2
Brom-/snorfiets;2017;Gelderland (PV);     0.1
Brom-/snorfiets;2010;Utrecht (PV);     0.1
Brom-/snorfiets;2011;Utrecht (PV);     0.1
Brom-/snorfiets;2012;Utrecht (PV);     0.1
Brom-/snorfiets;2013;Utrecht (PV);     0.1
Brom-/snorfiets;2014;Utrecht (PV);     0.1
Brom-/snorfiets;2015;Utrecht (PV);     0.1
Brom-/snorfiets;2016;Utrecht (PV);     0.1
Brom-/snorfiets;2017;Utrecht (PV);     0.1
Brom-/snorfiets;2010;Noord-Holland (PV);     0.2
Brom-/snorfiets;2011;Noord-Holland (PV);     0.3
Brom-/snorfiets;2012;Noord-Holland (PV);     0.2
